Sevilla,1976-77,1,0,0,2,1,1,0,2,2,1,1,0,1,1,1,2,1,2,0,2,0,1,0,2,0,1,0,2,2,0,10.0
Elche,1976-77,1,1,2,2,1,0,2,2,0,1,0,2,0,2,0,2,0,0,2,0,2,1,1,0,2,2,1,2,1,0,11.0
Zaragoza,1976-77,1,2,0,2,0,2,2,2,0,2,1,1,1,2,2,1,1,2,1,2,0,0,0,2,0,1,1,2,0,2,16.0
Real Sociedad,1976-77,1,1,2,0,1,2,0,2,0,1,0,1,0,2,0,0,0,0,2,0,2,2,1,2,0,2,1,2,0,2,8.0
Atletico de Madrid,1976-77,0,2,0,2,0,0,0,0,0,2,1,1,2,1,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,2,1.0
CD Malaga,1976-77,2,0,1,0,2,1,2,0,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,0,2,2,18.0
Barcelona,1976-77,0,2,0,2,0,0,2,1,0,0,1,0,1,0,0,0,0,2,0,1,0,2,2,1,1,1,2,0,0,0,2.0
Las Palmas,1976-77,2,0,2,0,2,0,2,0,2,1,1,1,0,2,0,1,0,0,2,0,2,2,0,0,2,0,1,1,2,2,4.0
Burgos,1976-77,2,1,0,2,1,2,0,2,1,2,1,2,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0,2,0,0,14.0
Espanol,1976-77,0,0,2,0,1,2,0,2,0,1,0,1,0,2,2,2,1,0,1,0,2,0,1,2,1,2,0,2,0,2,6.0
Hercules,1976-77,0,2,0,2,0,2,1,1,2,1,1,1,2,0,2,0,2,2,0,1,2,1,0,2,1,0,2,0,2,0,13.0
Betis,1976-77,2,2,2,0,1,0,2,0,2,0,1,2,0,0,0,2,2,0,2,0,2,1,1,0,1,0,2,1,0,0,5.0
Salamanca,1976-77,2,2,2,0,2,0,2,0,2,1,0,1,2,0,2,1,0,0,0,1,2,0,2,0,0,1,1,0,2,0,12.0
Real Madrid,1976-77,0,2,2,0,1,0,0,0,2,1,2,0,2,0,1,2,0,2,2,1,0,1,2,0,1,1,1,0,1,2,9.0
