Atletico de Madrid,1979-80,0,2,1,1,1,1,1,2,2,2,0,2,0,1,1,1,1,0,1,0,2,0,0,2,2,2,0,2,0,1
Real Madrid,1979-80,0,0,0,1,0,0,1,0,2,0,1,0,0,0,1,0,2,2,0,0,0,0,1,0,1,1,1,0,0,0
Valencia,1979-80,2,1,1,1,2,0,2,0,0,0,2,0,0,2,1,1,1,0,1,1,1,0,1,0,2,0,2,0,1,2
Salamanca,1979-80,0,1,0,1,0,0,0,2,1,2,2,2,2,0,2,1,2,2,1,0,1,2,2,2,1,0,2,0,1,2
Atletico de Bilbao,1979-80,2,2,2,2,1,0,2,0,1,0,0,2,0,2,0,1,0,0,2,0,2,0,2,0,0,0,1,2,0,2
Zaragoza,1979-80,1,2,2,0,2,2,2,0,0,0,1,0,2,0,2,1,0,2,1,1,2,2,0,2,2,0,0,0,2,1
Barcelona,1979-80,1,0,2,1,2,0,2,0,1,1,2,0,2,0,1,2,0,0,2,2,1,1,1,1,1,0,2,0,0,0
Espanol,1980-81,0,2,0,2,0,2,0,0,1,1,2,0,2,1,2,1,0,2,0,2,1,0,1,2,0,2,0,0,0,2
Hercules,1980-81,2,1,0,1,1,0,2,2,2,0,1,2,1,0,2,1,0,0,2,1,0,2,1,2,2,2,0,1,2,2
Sporting de Gijon,1980-81,0,1,0,1,1,2,0,1,1,2,0,2,1,1,2,0,0,2,0,2,0,1,0,0,0,1,0,2,2,0
Betis,1980-81,2,2,0,0,1,2,0,0,0,2,1,2,0,2,0,2,2,0,1,1,0,0,0,0,1,2,0,2,1,0
Sevilla,1980-81,0,2,0,0,0,2,2,0,1,0,2,0,0,1,2,1,2,1,1,2,0,1,0,1,1,0,2,0,2,0
Salamanca,1980-81,2,2,2,1,2,2,1,2,2,2,2,1,0,2,0,2,0,1,1,0,2,2,1,2,2,0,2,0,1,2
Valencia,1980-81,0,0,2,0,0,1,0,2,0,2,0,0,0,1,2,0,0,2,1,1,1,0,0,2,1,2,1,2,0,0
Real Sociedad,1980-81,2,0,0,1,1,2,0,0,0,2,0,2,0,1,0,1,2,0,0,0,2,2,1,2,0,0,0,1,0,0
AD Almeria,1980-81,2,1,2,1,2,1,2,1,2,1,2,0,2,2,2,0,2,2,1,0,2,1,2,0,2,0,2,2,2,2
Real Madrid,1980-81,0,0,2,0,2,0,2,0,2,0,1,0,2,0,1,2,1,0,1,0,1,2,2,0,0,0,2,0,0,0
Atletico de Bilbao,1980-81,2,2,0,1,2,0,2,2,1,0,2,2,2,0,0,0,2,0,1,1,0,0,2,0,2,1,1,1,0,2
Zaragoza,1980-81,0,0,0,0,1,1,2,2,2,0,1,2,2,2,1,1,0,2,1,2,1,1,2,0,2,2,2,1,1,0
Atletico de Madrid,1980-81,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,2,0,2,2,1,0,0,0,2,1,2
Valladolid,1980-81,2,1,2,2,1,0,2,0,2,0,2,0,1,1,2,1,1,2,1,1,2,0,1,2,1,0,0,1,1,0
Murcia,1980-81,2,0,2,2,1,1,0,2,2,1,2,2,2,2,2,0,2,2,1,0,1,2,0,2,1,2,2,0,2,0
Barcelona,1980-81,0,0,2,2,2,0,2,2,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,1,0,2,2,1,2
Osasuna,1980-81,0,2,2,1,0,0,0,2,0,1,0,2,0,1,0,2,1,2,2,1,2,2,1,2,2,2,0,1,0,2
